method,100,101,110,111,001,MAE_vs_DFT
DFT/PBE (BFGS),0.4922,0.5056,0.5269,0.55,0.5505,0.0
PFP/PBE,0.3855,0.4127,0.487,0.4171,0.4601,0.0926
PFP/PBE+D3,0.6422,0.8325,0.7375,0.6851,0.7344,0.2013
PFP/R²SCAN,0.7846,0.4766,0.5993,0.5388,0.5275,0.0856
PFP/R²SCAN+D3,0.6148,0.7073,0.7306,0.6901,0.6804,0.1596
MEAM/Ravelo 1997,0.735,0.8183,0.9542,0.9093,0.8968,0.3377
MEAM/Etesami 2018,1.3763,1.3547,1.5874,1.3847,1.2997,0.8755
MEAM/Ko 2018,0.3454,0.3672,0.4943,0.4728,0.4853,0.092
